song_id,valence_mean,valence_std,arousal_mean,arousal_std,valence,arousal,spec_path,Genre,genre_id,segment_id
126,5.1,1.64,6.1,1.37,0.5666666666666667,0.6777777777777777,data/deam/DEAM_spectrograms_shiv/126_seg0.npy,classical,0,126_seg0
126,5.1,1.64,6.1,1.37,0.5666666666666667,0.6777777777777777,data/deam/DEAM_spectrograms_shiv/126_seg1.npy,classical,0,126_seg1
126,5.1,1.64,6.1,1.37,0.5666666666666667,0.6777777777777777,data/deam/DEAM_spectrograms_shiv/126_seg2.npy,classical,0,126_seg2
127,3.0,1.84,5.3,1.68,0.3333333333333333,0.5888888888888889,data/deam/DEAM_spectrograms_shiv/127_seg0.npy,classical,0,127_seg0
127,3.0,1.84,5.3,1.68,0.3333333333333333,0.5888888888888889,data/deam/DEAM_spectrograms_shiv/127_seg1.npy,classical,0,127_seg1
127,3.0,1.84,5.3,1.68,0.3333333333333333,0.5888888888888889,data/deam/DEAM_spectrograms_shiv/127_seg2.npy,classical,0,127_seg2
128,3.6,1.43,4.0,1.55,0.4,0.4444444444444444,data/deam/DEAM_spectrograms_shiv/128_seg0.npy,classical,0,128_seg0
128,3.6,1.43,4.0,1.55,0.4,0.4444444444444444,data/deam/DEAM_spectrograms_shiv/128_seg1.npy,classical,0,128_seg1
128,3.6,1.43,4.0,1.55,0.4,0.4444444444444444,data/deam/DEAM_spectrograms_shiv/128_seg2.npy,classical,0,128_seg2
129,4.2,1.72,6.0,1.67,0.4666666666666667,0.6666666666666666,data/deam/DEAM_spectrograms_shiv/129_seg0.npy,classical,0,129_seg0
129,4.2,1.72,6.0,1.67,0.4666666666666667,0.6666666666666666,data/deam/DEAM_spectrograms_shiv/129_seg1.npy,classical,0,129_seg1
129,4.2,1.72,6.0,1.67,0.4666666666666667,0.6666666666666666,data/deam/DEAM_spectrograms_shiv/129_seg2.npy,classical,0,129_seg2
130,3.3,1.42,4.2,1.33,0.3666666666666666,0.4666666666666667,data/deam/DEAM_spectrograms_shiv/130_seg0.npy,classical,0,130_seg0
130,3.3,1.42,4.2,1.33,0.3666666666666666,0.4666666666666667,data/deam/DEAM_spectrograms_shiv/130_seg1.npy,classical,0,130_seg1
130,3.3,1.42,4.2,1.33,0.3666666666666666,0.4666666666666667,data/deam/DEAM_spectrograms_shiv/130_seg2.npy,classical,0,130_seg2
131,6.1,1.04,4.9,1.64,0.6777777777777777,0.5444444444444445,data/deam/DEAM_spectrograms_shiv/131_seg0.npy,classical,0,131_seg0
131,6.1,1.04,4.9,1.64,0.6777777777777777,0.5444444444444445,data/deam/DEAM_spectrograms_shiv/131_seg1.npy,classical,0,131_seg1
131,6.1,1.04,4.9,1.64,0.6777777777777777,0.5444444444444445,data/deam/DEAM_spectrograms_shiv/131_seg2.npy,classical,0,131_seg2
133,2.8,1.99,2.2,1.17,0.3111111111111111,0.2444444444444444,data/deam/DEAM_spectrograms_shiv/133_seg0.npy,classical,0,133_seg0
133,2.8,1.99,2.2,1.17,0.3111111111111111,0.2444444444444444,data/deam/DEAM_spectrograms_shiv/133_seg1.npy,classical,0,133_seg1
133,2.8,1.99,2.2,1.17,0.3111111111111111,0.2444444444444444,data/deam/DEAM_spectrograms_shiv/133_seg2.npy,classical,0,133_seg2
134,5.4,1.74,6.0,1.18,0.6000000000000001,0.6666666666666666,data/deam/DEAM_spectrograms_shiv/134_seg0.npy,classical,0,134_seg0
134,5.4,1.74,6.0,1.18,0.6000000000000001,0.6666666666666666,data/deam/DEAM_spectrograms_shiv/134_seg1.npy,classical,0,134_seg1
134,5.4,1.74,6.0,1.18,0.6000000000000001,0.6666666666666666,data/deam/DEAM_spectrograms_shiv/134_seg2.npy,classical,0,134_seg2
135,3.7,2.24,3.5,1.43,0.4111111111111111,0.3888888888888889,data/deam/DEAM_spectrograms_shiv/135_seg0.npy,classical,0,135_seg0
