song_id,valence_mean,valence_std,arousal_mean,arousal_std,valence,arousal,spec_path,Genre,genre_id
126,5.1,1.64,6.1,1.37,0.5666666666666667,0.6777777777777777,data/deam/DEAM_spectrograms/126.npy,classical,0
127,3.0,1.84,5.3,1.68,0.3333333333333333,0.5888888888888889,data/deam/DEAM_spectrograms/127.npy,classical,0
128,3.6,1.43,4.0,1.55,0.4,0.4444444444444444,data/deam/DEAM_spectrograms/128.npy,classical,0
129,4.2,1.72,6.0,1.67,0.4666666666666667,0.6666666666666666,data/deam/DEAM_spectrograms/129.npy,classical,0
130,3.3,1.42,4.2,1.33,0.36666666666666664,0.4666666666666667,data/deam/DEAM_spectrograms/130.npy,classical,0
131,6.1,1.04,4.9,1.64,0.6777777777777777,0.5444444444444445,data/deam/DEAM_spectrograms/131.npy,classical,0
133,2.8,1.99,2.2,1.17,0.3111111111111111,0.24444444444444446,data/deam/DEAM_spectrograms/133.npy,classical,0
134,5.4,1.74,6.0,1.18,0.6000000000000001,0.6666666666666666,data/deam/DEAM_spectrograms/134.npy,classical,0
135,3.7,2.24,3.5,1.43,0.41111111111111115,0.3888888888888889,data/deam/DEAM_spectrograms/135.npy,classical,0
136,6.8,1.33,6.2,1.08,0.7555555555555555,0.6888888888888889,data/deam/DEAM_spectrograms/136.npy,classical,0
137,4.3,1.68,5.8,1.33,0.47777777777777775,0.6444444444444444,data/deam/DEAM_spectrograms/137.npy,classical,0
138,3.8,2.64,2.4,0.92,0.4222222222222222,0.26666666666666666,data/deam/DEAM_spectrograms/138.npy,classical,0
140,4.2,1.47,4.5,2.01,0.4666666666666667,0.5,data/deam/DEAM_spectrograms/140.npy,classical,0
142,4.6,1.8,4.8,1.72,0.5111111111111111,0.5333333333333333,data/deam/DEAM_spectrograms/142.npy,classical,0
143,4.0,1.73,4.9,1.45,0.4444444444444444,0.5444444444444445,data/deam/DEAM_spectrograms/143.npy,classical,0
144,3.4,1.11,4.7,0.9,0.37777777777777777,0.5222222222222223,data/deam/DEAM_spectrograms/144.npy,classical,0
145,3.1,1.92,5.4,1.91,0.34444444444444444,0.6000000000000001,data/deam/DEAM_spectrograms/145.npy,classical,0
146,2.4,1.8,3.5,1.91,0.26666666666666666,0.3888888888888889,data/deam/DEAM_spectrograms/146.npy,classical,0
148,4.7,1.19,5.0,2.05,0.5222222222222223,0.5555555555555556,data/deam/DEAM_spectrograms/148.npy,classical,0
149,3.4,1.85,3.1,1.92,0.37777777777777777,0.34444444444444444,data/deam/DEAM_spectrograms/149.npy,classical,0
150,5.0,2.45,5.4,2.2,0.5555555555555556,0.6000000000000001,data/deam/DEAM_spectrograms/150.npy,classical,0
151,4.0,1.95,4.5,1.28,0.4444444444444444,0.5,data/deam/DEAM_spectrograms/151.npy,classical,0
152,4.4,1.62,5.6,1.43,0.48888888888888893,0.6222222222222222,data/deam/DEAM_spectrograms/152.npy,classical,0
153,3.9,1.92,4.5,1.69,0.43333333333333335,0.5,data/deam/DEAM_spectrograms/153.npy,classical,0
154,4.2,1.66,4.1,1.87,0.4666666666666667,0.4555555555555555,data/deam/DEAM_spectrograms/154.npy,classical,0
155,3.6,1.96,5.4,0.92,0.4,0.6000000000000001,data/deam/DEAM_spectrograms/155.npy,classical,0
156,6.4,1.2,6.7,0.46,0.7111111111111111,0.7444444444444445,data/deam/DEAM_spectrograms/156.npy,classical,0
157,4.0,1.67,6.2,1.08,0.4444444444444444,0.6888888888888889,data/deam/DEAM_spectrograms/157.npy,classical,0
158,2.1,0.7,3.6,1.43,0.23333333333333334,0.4,data/deam/DEAM_spectrograms/158.npy,classical,0
159,3.8,2.56,3.1,1.81,0.4222222222222222,0.34444444444444444,data/deam/DEAM_spectrograms/159.npy,classical,0
160,3.5,2.11,3.5,1.57,0.3888888888888889,0.3888888888888889,data/deam/DEAM_spectrograms/160.npy,classical,0
161,6.3,1.19,3.5,1.91,0.7,0.3888888888888889,data/deam/DEAM_spectrograms/161.npy,classical,0
162,3.7,1.68,4.6,1.02,0.41111111111111115,0.5111111111111111,data/deam/DEAM_spectrograms/162.npy,classical,0
163,3.6,1.28,4.5,1.36,0.4,0.5,data/deam/DEAM_spectrograms/163.npy,classical,0
164,4.1,1.7,2.9,1.97,0.4555555555555555,0.3222222222222222,data/deam/DEAM_spectrograms/164.npy,classical,0
166,3.1,1.45,4.2,1.08,0.34444444444444444,0.4666666666666667,data/deam/DEAM_spectrograms/166.npy,classical,0
