song_id,valence_mean,valence_std,arousal_mean,arousal_std,valence,arousal,spec_path,Genre,genre_id
2,3.1,0.94,3.0,0.63,0.3444444444444444,0.3333333333333333,data/deam/DEAM_spectrograms/2.npy,Blues,1
3,3.5,1.75,3.3,1.62,0.3888888888888889,0.3666666666666666,data/deam/DEAM_spectrograms/3.npy,Blues,1
4,5.7,1.42,5.5,1.63,0.6333333333333333,0.6111111111111112,data/deam/DEAM_spectrograms/4.npy,Blues,1
7,5.8,1.47,6.4,1.69,0.6444444444444444,0.7111111111111111,data/deam/DEAM_spectrograms/7.npy,Blues,1
8,3.2,1.4,4.8,1.54,0.3555555555555555,0.5333333333333333,data/deam/DEAM_spectrograms/8.npy,Blues,1
10,4.0,1.67,4.7,1.85,0.4444444444444444,0.5222222222222223,data/deam/DEAM_spectrograms/10.npy,Blues,1
12,5.5,1.91,5.8,1.89,0.6111111111111112,0.6444444444444444,data/deam/DEAM_spectrograms/12.npy,Blues,1
20,5.4,2.5,6.5,2.11,0.6000000000000001,0.7222222222222222,data/deam/DEAM_spectrograms/20.npy,Blues,1
21,6.6,0.92,6.3,1.42,0.7333333333333333,0.7,data/deam/DEAM_spectrograms/21.npy,Blues,1
22,4.0,1.34,4.8,1.47,0.4444444444444444,0.5333333333333333,data/deam/DEAM_spectrograms/22.npy,Blues,1
24,5.3,1.62,3.9,1.76,0.5888888888888889,0.4333333333333333,data/deam/DEAM_spectrograms/24.npy,Blues,1
25,7.9,0.7,4.7,2.53,0.8777777777777778,0.5222222222222223,data/deam/DEAM_spectrograms/25.npy,Blues,1
31,4.7,1.55,3.8,1.54,0.5222222222222223,0.4222222222222222,data/deam/DEAM_spectrograms/31.npy,Blues,1
32,4.2,1.78,3.3,1.49,0.4666666666666667,0.3666666666666666,data/deam/DEAM_spectrograms/32.npy,Blues,1
35,4.8,2.14,6.5,2.11,0.5333333333333333,0.7222222222222222,data/deam/DEAM_spectrograms/35.npy,Blues,1
39,7.3,1.85,5.4,2.37,0.8111111111111111,0.6000000000000001,data/deam/DEAM_spectrograms/39.npy,Blues,1
41,4.3,1.62,5.1,1.3,0.4777777777777777,0.5666666666666667,data/deam/DEAM_spectrograms/41.npy,Blues,1
43,6.7,2.33,3.5,1.5,0.7444444444444445,0.3888888888888889,data/deam/DEAM_spectrograms/43.npy,Blues,1
44,3.9,1.04,4.9,1.58,0.4333333333333333,0.5444444444444445,data/deam/DEAM_spectrograms/44.npy,Blues,1
46,5.3,1.95,4.0,1.73,0.5888888888888889,0.4444444444444444,data/deam/DEAM_spectrograms/46.npy,Blues,1
47,4.4,1.74,4.4,1.56,0.4888888888888889,0.4888888888888889,data/deam/DEAM_spectrograms/47.npy,Blues,1
48,4.5,1.86,4.8,1.78,0.5,0.5333333333333333,data/deam/DEAM_spectrograms/48.npy,Blues,1
49,3.9,1.3,5.3,1.19,0.4333333333333333,0.5888888888888889,data/deam/DEAM_spectrograms/49.npy,Blues,1
